epoch, train_loss, train_accuracy, test_loss, test_accuracy
1, 1.4558, 0.2625, 1.4258, 0.2250
2, 1.4535, 0.2812, 1.4507, 0.1500
3, 1.4288, 0.1625, 1.4369, 0.1500
4, 1.3948, 0.2375, 1.3770, 0.3250
5, 1.4135, 0.2562, 1.3592, 0.2500
6, 1.4008, 0.2625, 1.3281, 0.3250
7, 1.3670, 0.2750, 1.5072, 0.2250
8, 1.3392, 0.3125, 1.3383, 0.2750
9, 1.3358, 0.4125, 1.2851, 0.3250
10, 1.3263, 0.3250, 1.2317, 0.4500
11, 1.3250, 0.3625, 1.2217, 0.3250
12, 1.1881, 0.4562, 1.2171, 0.4000
13, 1.2154, 0.4313, 1.0800, 0.5000
14, 1.1033, 0.4688, 1.0899, 0.4000
15, 1.0884, 0.4562, 1.2828, 0.3000
16, 1.0210, 0.5000, 1.0438, 0.4500
17, 0.9916, 0.5125, 0.9283, 0.5500
18, 0.8891, 0.5938, 0.8995, 0.5250
19, 0.7483, 0.6813, 0.7641, 0.6750
20, 0.8221, 0.6625, 1.3148, 0.5750
21, 0.9090, 0.6062, 0.7298, 0.6750
22, 0.7770, 0.7188, 0.8612, 0.6250
23, 0.6296, 0.7438, 0.6589, 0.7250
24, 0.7560, 0.7312, 2.3294, 0.2250
25, 1.3357, 0.4250, 0.8581, 0.7000
26, 0.7901, 0.6625, 0.7252, 0.6750
27, 0.6147, 0.8000, 0.5542, 0.7500
28, 0.6183, 0.7625, 0.4926, 0.8000
29, 0.5442, 0.7937, 0.5962, 0.7250
30, 0.5330, 0.8187, 0.4084, 0.8750
31, 0.5140, 0.8125, 0.5156, 0.8250
32, 0.6962, 0.7312, 0.6305, 0.8250
33, 0.4673, 0.8125, 0.4593, 0.8500
34, 0.5611, 0.7625, 1.0261, 0.6500
35, 0.7531, 0.6937, 0.7570, 0.6250
36, 0.5226, 0.8000, 0.6177, 0.7250
37, 0.4331, 0.8500, 0.4111, 0.8750
38, 0.3926, 0.8750, 0.5306, 0.8000
39, 0.3436, 0.8562, 0.2859, 0.9500
40, 0.3131, 0.9000, 0.3976, 0.8750
41, 0.5575, 0.7625, 0.6299, 0.8750
42, 0.5110, 0.8125, 0.7866, 0.6000
43, 0.3743, 0.8500, 0.4339, 0.8750
44, 0.3159, 0.8688, 0.7725, 0.6250
45, 0.8068, 0.7312, 0.7215, 0.7250
46, 0.4874, 0.8063, 0.3157, 0.9000
47, 0.3858, 0.8812, 0.6047, 0.8000
48, 0.3342, 0.8688, 0.4500, 0.8250
49, 0.2702, 0.9062, 0.4122, 0.9250
50, 0.2443, 0.9250, 0.3944, 0.9250
